"TRIP_ID","CHECKPOINT_A","CHECKPOINT_B","DATE_INI","DATE_END","COST","VOLUME","LENGTH","TIME","FUEL_ECONOMY","COST_RATE"
"190628","37214","37514","28-JUN-2019","09-JUL-2019","19.02","24.99","300","11","12.005","1.73"
"190709","37514","37913","09-JUL-2019","16-JUL-2019","20.59","25.642","399","7","15.56","2.94"
"190716","37913","38309","16-JUL-2019","24-JUL-2019","20.14","24.12","396","8","16.418","2.52"
"190724","38309","38722","24-JUL-2019","01-AUG-2019","20.12","24.098","413","8","17.138","2.56"
"190801","38722","38929","01-AUG-2019","07-AUG-2019","15","17.964","207","7","11.523","2.14"
"190807","38929","39333","07-AUG-2019","17-AUG-2019","20.44","24.479","404","11","16.504","1.86"
"190817","39333","39667","17-AUG-2019","26-AUG-2019","19.57","25.42","334","10","13.14","1.96"
"190826","39667","40004","26-AUG-2019","03-SEP-2019","17.63","22.929","337","9","14.698","1.96"
"190903","40004","40346","03-SEP-2019","11-SEP-2019","17.92","23.078","342","11","14.819","1.63"
"190911","40346","40696","11-SEP-2019","18-SEP-2019","17.86","23.474","350","8","14.91","2.23"
"190918","40696","41071","18-SEP-2019","25-SEP-2019","17.79","23.279","375","8","16.108","2.22"
"190925","41071","41453","25-SEP-2019","02-OCT-2019","17.23","23.126","382","8","16.518","2.15"
"191002","41453","41854","02-OCT-2019","11-OCT-2019","17.69","23.335","401","10","17.184","1.77"
"191011","41854","42241","11-OCT-2019","21-OCT-2019","17.93","23.97","387","11","16.145","1.63"
"191021","42241","42647","21-OCT-2019","28-OCT-2019","18.71","25.28","406","8","16.06","2.34"
"191028","42647","43009","28-OCT-2019","12-NOV-2019","17.68","23.575","362","16","15.355","1.11"
"191112","43009","43376","12-NOV-2019","22-NOV-2019","18.4","24.336","367","11","15.081","1.67"
"191122","43376","43705","22-NOV-2019","02-DEC-2019","15.79","20.244","329","11","16.252","1.44"
